"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
_SymbolAddresses,package:sqlite3/src/ffi/generated/dynamic_library.dart,1,16,16,0,0,0,0,0,1,16,16,0
FfiSqlite3,package:sqlite3/src/ffi/implementation.dart,1,16,16,0,0,0,0,0,1,16,16,0
OpenDynamicLibrary,package:sqlite3/src/ffi/load_library.dart,1,16,16,0,0,0,0,0,1,16,16,0
FutureProviderFamilyBuilder,package:riverpod/src/builders.dart,1,16,16,0,0,0,0,0,1,16,16,0
StreamProviderFamilyBuilder,package:riverpod/src/builders.dart,1,16,16,0,0,0,0,0,1,16,16,0
TextRecognitionScript,package:google_mlkit_text_recognition/src/text_recognizer.dart,1,16,16,0,0,0,0,0,1,16,16,0
FlutterLocalNotificationsPlugin,package:flutter_local_notifications/src/flutter_local_notifications_plugin.dart,1,16,16,0,0,0,0,0,1,16,16,0
AndroidFlutterLocalNotificationsPlugin,package:flutter_local_notifications/src/platform_flutter_local_notifications.dart,1,16,16,0,0,0,0,0,1,16,16,0
AndroidNotificationChannelAction,package:flutter_local_notifications/src/platform_specifics/android/enums.dart,1,16,16,0,0,0,0,0,1,16,16,0
AndroidInitializationSettings,package:flutter_local_notifications/src/platform_specifics/android/initialization_settings.dart,1,16,16,0,0,0,0,0,1,16,16,0
FlPanCancelEvent,package:fl_chart/src/chart/base/base_chart/fl_touch_event.dart,1,16,16,0,0,0,0,0,1,16,16,0
Utils,package:fl_chart/src/utils/utils.dart,1,16,16,0,0,0,0,0,1,16,16,0
MethodChannelFirebase,package:firebase_core_platform_interface/firebase_core_platform_interface.dart,1,16,16,0,0,0,0,0,1,16,16,0
_PigeonCodec,package:firebase_core_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
FirebaseCoreHostApi,package:firebase_core_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
FirebaseAppHostApi,package:firebase_core_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
FirebaseApp,package:firebase_core/firebase_core.dart,1,16,16,0,0,0,0,0,1,16,16,0
_PigeonCodec,package:firebase_analytics_platform_interface/src/pigeon/messages.pigeon.dart,1,16,16,0,0,0,0,0,1,16,16,0
DriftDatabaseOptions,package:drift/src/runtime/api/options.dart,1,16,16,0,0,0,0,0,1,16,16,0
TrackedDatabase,package:drift/src/runtime/devtools/devtools.dart,1,16,16,0,0,0,0,0,1,16,16,0
DriftServiceExtension,package:drift/src/runtime/devtools/service_extension.dart,1,16,16,0,0,0,0,0,1,16,16,0
NoVersionDelegate,package:drift/src/runtime/executor/helpers/delegates.dart,1,16,16,0,0,0,0,0,1,16,16,0
Limit,package:drift/src/runtime/query_builder/query_builder.dart,1,16,16,0,0,0,0,0,1,16,16,0
OrderBy,package:drift/src/runtime/query_builder/query_builder.dart,1,16,16,0,0,0,0,0,1,16,16,0
_SqliteVersionDelegate,package:drift/src/sqlite3/database.dart,1,16,16,0,0,0,0,0,1,16,16,0
PreparedStatementsCache,package:drift/src/sqlite3/database.dart,1,16,16,0,0,0,0,0,1,16,16,0
DatabaseTracker,package:drift/src/sqlite3/database_tracker.dart,1,16,16,0,0,0,0,0,1,16,16,0
